epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,1613.15,0.61432,0.48701,1.04899,0.92798,0.91221,0.957,0.80642,0.64217,0.49644,1.09796,0.0009506,0.0009506,0.0009506
55,1642.47,0.62269,0.48765,1.07961,0.9544,0.92611,0.95997,0.79351,0.69863,0.48058,1.17048,0.0009308,0.0009308,0.0009308
56,1672.54,0.60842,0.47021,1.05683,0.9126,0.9646,0.97332,0.80825,0.65476,0.46299,1.13115,0.000911,0.000911,0.000911
57,1701.97,0.58057,0.47396,1.03827,0.87848,0.95967,0.96489,0.80052,0.65811,0.47443,1.1373,0.0008912,0.0008912,0.0008912
58,1731.51,0.58433,0.43979,1.03764,0.91158,0.90265,0.95652,0.79579,0.66134,0.50186,1.12548,0.0008714,0.0008714,0.0008714
59,1760.91,0.60402,0.45113,1.03884,0.88686,0.9646,0.966,0.80778,0.64629,0.46005,1.09254,0.0008516,0.0008516,0.0008516
60,1790.39,0.59873,0.45886,1.04187,0.88582,0.96116,0.95521,0.80837,0.63073,0.47572,1.0789,0.0008318,0.0008318,0.0008318
61,1819.65,0.60396,0.45197,1.04488,0.90577,0.93805,0.96576,0.81011,0.6471,0.45634,1.11641,0.000812,0.000812,0.000812
62,1848.97,0.55817,0.41803,1.02138,0.91724,0.93805,0.96651,0.81717,0.61502,0.4334,1.10605,0.0007922,0.0007922,0.0007922
63,1880.23,0.56029,0.4317,1.02581,0.91431,0.9443,0.96408,0.81632,0.60869,0.44109,1.10352,0.0007724,0.0007724,0.0007724
64,1910.8,0.53511,0.42332,1.02151,0.92561,0.93805,0.96201,0.80624,0.6536,0.44449,1.12288,0.0007526,0.0007526,0.0007526
65,1940.14,0.55066,0.40155,1.03135,0.93398,0.92035,0.95638,0.80337,0.64314,0.50283,1.12597,0.0007328,0.0007328,0.0007328
66,1970.09,0.55968,0.41076,1.01378,0.94273,0.90265,0.96213,0.82806,0.61811,0.43557,1.11238,0.000713,0.000713,0.000713
67,2000.17,0.53623,0.40473,1.02635,0.96814,0.89381,0.96357,0.82946,0.61536,0.44245,1.08534,0.0006932,0.0006932,0.0006932
