Name,Location Type,Parent Name,Capacity,Latitude 1,Longitude 1,Latitude 2,Longitude 2,Latitude 3,Longitude 3,Latitude 4,Longitude 4,Latitude 5,Longitude 5,Circle Radius,Circle Center
KM 170                        ,                              ,                              ,                              ,33.21966600950673,-96.87751155302784,33.219722196259475,-96.87740892473843,33.2196902911332,-96.87740931420419,33.21963398766934,-96.87751177654526,33.21967812114219             ,-96.87746039212894            ,                                                            ,                                                                                                    
KM 169                        ,                              ,                              ,                              ,33.21969803134413,-96.87751132951043,33.21975410138575,-96.87740853527269,33.219722196259475,-96.87740892473843,33.21966600950673,-96.87751155302784,33.219710084624026            ,-96.87746008563735            ,                                                            ,                                                                                                    
KM 168                        ,                              ,                              ,                              ,33.21973005318153,-96.87751110599301,33.21978600651204,-96.87740814580694,33.21975410138575,-96.87740853527269,33.21969803134413,-96.87751132951043,33.219742048105864            ,-96.87745977914577            ,                                                            ,                                                                                                    
KM 167                        ,                              ,                              ,                              ,33.21976207501893,-96.87751088247559,33.219817911638316,-96.87740775634119,33.21978600651204,-96.87740814580694,33.21973005318153,-96.87751110599301,33.2197740115877              ,-96.87745947265418            ,                                                            ,                                                                                                    
KM 166                        ,                              ,                              ,                              ,33.219794096856326,-96.87751065895817,33.219849816764594,-96.87740736687543,33.219817911638316,-96.87740775634119,33.21976207501893,-96.87751088247559,33.21980597506954             ,-96.8774591661626             ,                                                            ,                                                                                                    
KM 165                        ,                              ,                              ,                              ,33.21982611869372,-96.87751043544075,33.21988172189087,-96.87740697740968,33.219849816764594,-96.87740736687543,33.219794096856326,-96.87751065895817,33.21983793855138             ,-96.87745885967101            ,                                                            ,                                                                                                    
KM 164                        ,                              ,                              ,                              ,33.219858140531116,-96.87751021192334,33.219913627017156,-96.87740658794392,33.21988172189087,-96.87740697740968,33.21982611869372,-96.87751043544075,33.21986990203322             ,-96.87745855317942            ,                                                            ,                                                                                                    
KM 163                        ,                              ,                              ,                              ,33.219890162368515,-96.87750998840592,33.219945532143434,-96.87740619847817,33.219913627017156,-96.87740658794392,33.219858140531116,-96.87751021192334,33.219901865515055            ,-96.87745824668784            ,                                                            ,                                                                                                    
KM 162                        ,                              ,                              ,                              ,33.21992218420591,-96.8775097648885,33.21997743726971,-96.87740580901242,33.219945532143434,-96.87740619847817,33.219890162368515,-96.87750998840592,33.2199338289969              ,-96.87745794019625            ,                                                            ,                                                                                                    
KM 161                        ,                              ,                              ,                              ,33.21995420604331,-96.87750954137108,33.22000934239599,-96.87740541954668,33.21997743726971,-96.87740580901242,33.21992218420591,-96.8775097648885,33.21996579247873             ,-96.87745763370467            ,                                                            ,                                                                                                    
KM 160                        ,                              ,                              ,                              ,33.21998622788071,-96.87750931785367,33.220041247522275,-96.87740503008092,33.22000934239599,-96.87740541954668,33.21995420604331,-96.87750954137108,33.21999775596058             ,-96.87745732721308            ,                                                            ,                                                                                                    
KM 159                        ,                              ,                              ,                              ,33.22001824971811,-96.87750909433625,33.22007315264855,-96.87740464061517,33.220041247522275,-96.87740503008092,33.21998622788071,-96.87750931785367,33.22002971944241             ,-96.8774570207215             ,                                                            ,                                                                                                    
KM 158                        ,                              ,                              ,                              ,33.2200502715555,-96.87750887081883,33.22010505777483,-96.87740425114941,33.22007315264855,-96.87740464061517,33.22001824971811,-96.87750909433625,33.22006168292425             ,-96.87745671422991            ,                                                            ,                                                                                                    
KM 157                        ,                              ,                              ,                              ,33.2200822933929,-96.87750864730141,33.22013696290111,-96.87740386168366,33.22010505777483,-96.87740425114941,33.2200502715555,-96.87750887081883,33.220093646406085            ,-96.87745640773832            ,                                                            ,                                                                                                    
KM 156                        ,                              ,                              ,                              ,33.2201143152303,-96.877508423784,33.22016886802739,-96.8774034722179,33.22013696290111,-96.87740386168366,33.2200822933929,-96.87750864730141,33.22012560988792             ,-96.87745610124674            ,                                                            ,                                                                                                    
KM 155                        ,                              ,                              ,                              ,33.220146337067696,-96.87750820026658,33.22020077315367,-96.87740308275215,33.22016886802739,-96.8774034722179,33.2201143152303,-96.877508423784,33.22015757336976             ,-96.87745579475515            ,                                                            ,                                                                                                    
KM 154                        ,                              ,                              ,                              ,33.220178358905095,-96.87750797674916,33.22023267827995,-96.8774026932864,33.22020077315367,-96.87740308275215,33.220146337067696,-96.87750820026658,33.2201895368516              ,-96.87745548826356            ,                                                            ,                                                                                                    
KM 153                        ,                              ,                              ,                              ,33.22021038074249,-96.87750775323174,33.22026458340623,-96.87740230382066,33.22023267827995,-96.8774026932864,33.220178358905095,-96.87750797674916,33.22022150033344             ,-96.87745518177198            ,                                                            ,                                                                                                    
KM 152                        ,                              ,                              ,                              ,33.220242402579885,-96.87750752971432,33.22029648853251,-96.8774019143549,33.22026458340623,-96.87740230382066,33.22021038074249,-96.87750775323174,33.220253463815276            ,-96.8774548752804             ,                                                            ,                                                                                                    
KM 151                        ,                              ,                              ,                              ,33.22027442441728,-96.8775073061969,33.22032839365879,-96.87740152488915,33.22029648853251,-96.8774019143549,33.220242402579885,-96.87750752971432,33.220285427297114            ,-96.87745456878882            ,                                                            ,                                                                                                    
KM 150                        ,                              ,                              ,                              ,33.22030644625468,-96.87750708267949,33.22036029878507,-96.8774011354234,33.22032839365879,-96.87740152488915,33.22027442441728,-96.8775073061969,33.22031739077896             ,-96.87745426229723            ,                                                            ,                                                                                                    
KM 120                        ,                              ,                              ,                              ,33.22032545516937,-96.8775754079924,33.22027170729695,-96.87768346795794,33.2203036414345,-96.87768334019337,33.2203574910092,-96.87757528664817,33.22031457372751             ,-96.87762937569796            ,                                                            ,                                                                                                    
KM 119                        ,                              ,                              ,                              ,33.22029341932954,-96.87757552933664,33.220239773159406,-96.8776835957225,33.22027170729695,-96.87768346795794,33.22032545516937,-96.8775754079924,33.22028258873881             ,-96.87762950025237            ,                                                            ,                                                                                                    
KM 118                        ,                              ,                              ,                              ,33.22026138348972,-96.87757565068087,33.22020783902186,-96.87768372348707,33.220239773159406,-96.8776835957225,33.22029341932954,-96.87757552933664,33.22025060375013             ,-96.87762962480677            ,                                                            ,                                                                                                    
KM 117                        ,                              ,                              ,                              ,33.22022934764989,-96.8775757720251,33.22017590488432,-96.87768385125163,33.22020783902186,-96.87768372348707,33.22026138348972,-96.87757565068087,33.22021861876145             ,-96.87762974936116            ,                                                            ,                                                                                                    
KM 116                        ,                              ,                              ,                              ,33.22019731181006,-96.87757589336933,33.220143970746776,-96.8776839790162,33.22017590488432,-96.87768385125163,33.22022934764989,-96.8775757720251,33.220186633772755            ,-96.87762987391557            ,                                                            ,                                                                                                    
KM 115                        ,                              ,                              ,                              ,33.22016527597023,-96.87757601471357,33.22011203660923,-96.87768410678076,33.220143970746776,-96.8776839790162,33.22019731181006,-96.87757589336933,33.220154648784074            ,-96.87762999846997            ,                                                            ,                                                                                                    
KM 114                        ,                              ,                              ,                              ,33.2201332401304,-96.8775761360578,33.220080102471684,-96.87768423454533,33.22011203660923,-96.87768410678076,33.22016527597023,-96.87757601471357,33.22012266379539             ,-96.87763012302436            ,                                                            ,                                                                                                    
KM 113                        ,                              ,                              ,                              ,33.22010120429058,-96.87757625740203,33.22004816833414,-96.87768436230989,33.220080102471684,-96.87768423454533,33.2201332401304,-96.8775761360578,33.2200906788067              ,-96.87763024757876            ,                                                            ,                                                                                                    
KM 112                        ,                              ,                              ,                              ,33.22006916845075,-96.87757637874627,33.22001623419659,-96.87768449007446,33.22004816833414,-96.87768436230989,33.22010120429058,-96.87757625740203,33.22005869381802             ,-96.87763037213317            ,                                                            ,                                                                                                    
KM 111                        ,                              ,                              ,                              ,33.22003713261092,-96.8775765000905,33.219984300059046,-96.87768461783902,33.22001623419659,-96.87768449007446,33.22006916845075,-96.87757637874627,33.22002670882932             ,-96.87763049668756            ,                                                            ,                                                                                                    
KM 110                        ,                              ,                              ,                              ,33.22000509677109,-96.87757662143473,33.2199523659215,-96.87768474560359,33.219984300059046,-96.87768461783902,33.22003713261092,-96.8775765000905,33.219994723840635            ,-96.87763062124196            ,                                                            ,                                                                                                    
KM 109                        ,                              ,                              ,                              ,33.21997306093127,-96.87757674277896,33.21992043178396,-96.87768487336815,33.2199523659215,-96.87768474560359,33.22000509677109,-96.87757662143473,33.219962738851954            ,-96.87763074579635            ,                                                            ,                                                                                                    
KM 108                        ,                              ,                              ,                              ,33.21994102509144,-96.8775768641232,33.219888497646416,-96.87768500113272,33.21992043178396,-96.87768487336815,33.21997306093127,-96.87757674277896,33.21993075386327             ,-96.87763087035076            ,                                                            ,                                                                                                    
KM 107                        ,                              ,                              ,                              ,33.21990898925161,-96.87757698546743,33.21985656350887,-96.87768512889728,33.219888497646416,-96.87768500113272,33.21994102509144,-96.8775768641232,33.21989876887458             ,-96.87763099490516            ,                                                            ,                                                                                                    
KM 106                        ,                              ,                              ,                              ,33.21987695341178,-96.87757710681166,33.219824629371324,-96.87768525666185,33.21985656350887,-96.87768512889728,33.21990898925161,-96.87757698546743,33.21986678388589             ,-96.87763111945955            ,                                                            ,                                                                                                    
KM 105                        ,                              ,                              ,                              ,33.21984491757195,-96.8775772281559,33.21979269523378,-96.87768538442641,33.219824629371324,-96.87768525666185,33.21987695341178,-96.87757710681166,33.21983479889721             ,-96.87763124401395            ,                                                            ,                                                                                                    
KM 104                        ,                              ,                              ,                              ,33.219812881732125,-96.87757734950013,33.21976076109623,-96.87768551219098,33.21979269523378,-96.87768538442641,33.21984491757195,-96.8775772281559,33.219802813908515            ,-96.87763136856836            ,                                                            ,                                                                                                    
KM 103                        ,                              ,                              ,                              ,33.219780845892295,-96.87757747084436,33.219728826958686,-96.87768563995554,33.21976076109623,-96.87768551219098,33.219812881732125,-96.87757734950013,33.219770828919835            ,-96.87763149312275            ,                                                            ,                                                                                                    
KM 102                        ,                              ,                              ,                              ,33.219748810052465,-96.8775775921886,33.21969689282114,-96.87768576772011,33.219728826958686,-96.87768563995554,33.219780845892295,-96.87757747084436,33.21973884393115             ,-96.87763161767715            ,                                                            ,                                                                                                    
KM 101                        ,                              ,                              ,                              ,33.219716774212635,-96.87757771353283,33.219664958683595,-96.87768589548467,33.21969689282114,-96.87768576772011,33.219748810052465,-96.8775775921886,33.21970685894246             ,-96.87763174223156            ,                                                            ,                                                                                                    
KM 100                        ,                              ,                              ,                              ,33.219684738372806,-96.87757783487706,33.219633024546056,-96.87768602324924,33.219664958683595,-96.87768589548467,33.219716774212635,-96.87757771353283,33.21967487395377             ,-96.87763186678595            ,                                                            ,                                                                                                    
KM 99                         ,                              ,                              ,                              ,33.21965270253298,-96.87757795622129,33.21960109040851,-96.8776861510138,33.219633024546056,-96.87768602324924,33.219684738372806,-96.87757783487706,33.21964288896508             ,-96.87763199134035            ,                                                            ,                                                                                                    
KM 98                         ,                              ,                              ,                              ,33.21962066669315,-96.87757807756553,33.219569156270964,-96.87768627877837,33.21960109040851,-96.8776861510138,33.21965270253298,-96.87757795622129,33.2196109039764              ,-96.87763211589474            ,                                                            ,                                                                                                    
KM 97                         ,                              ,                              ,                              ,33.21958863085332,-96.87757819890976,33.21953722213342,-96.87768640654294,33.219569156270964,-96.87768627877837,33.21962066669315,-96.87757807756553,33.219578918987715            ,-96.87763224044915            ,                                                            ,                                                                                                    
KM 96                         ,                              ,                              ,                              ,33.219560510494304,-96.87790020746723,33.219628225747975,-96.87776707112789,33.21959648441385,-96.87776729464531,33.21952824923291,-96.87790039027074,33.21957836747225             ,-96.87783374087779            ,                                                            ,                                                                                                    
KM 95                         ,                              ,                              ,                              ,33.2195927717557,-96.87790002466373,33.219659967082094,-96.87776684761047,33.219628225747975,-96.87776707112789,33.219560510494304,-96.87790020746723,33.21961036877002             ,-96.87783353771734            ,                                                            ,                                                                                                    
KM 94                         ,                              ,                              ,                              ,33.219625033017095,-96.87789984186023,33.21969170841622,-96.87776662409306,33.219659967082094,-96.87776684761047,33.2195927717557,-96.87790002466373,33.219642370067774            ,-96.87783333455687            ,                                                            ,                                                                                                    
KM 93                         ,                              ,                              ,                              ,33.219657294278484,-96.87789965905672,33.21972344975035,-96.87776640057564,33.21969170841622,-96.87776662409306,33.219625033017095,-96.87789984186023,33.219674371365535            ,-96.87783313139641            ,                                                            ,                                                                                                    
KM 92                         ,                              ,                              ,                              ,33.21968955553988,-96.87789947625322,33.219755191084474,-96.87776617705822,33.21972344975035,-96.87776640057564,33.219657294278484,-96.87789965905672,33.219706372663296            ,-96.87783292823595            ,                                                            ,                                                                                                    
KM 91                         ,                              ,                              ,                              ,33.219721816801275,-96.87789929344972,33.21978693241859,-96.8777659535408,33.219755191084474,-96.87776617705822,33.21968955553988,-96.87789947625322,33.21973837396106             ,-96.87783272507549            ,                                                            ,                                                                                                    
KM 90                         ,                              ,                              ,                              ,33.21975407806267,-96.87789911064621,33.21981867375272,-96.87776573002338,33.21978693241859,-96.8777659535408,33.219721816801275,-96.87789929344972,33.21977037525881             ,-96.87783252191504            ,                                                            ,                                                                                                    
KM 89                         ,                              ,                              ,                              ,33.21978633932407,-96.87789892784271,33.219850415086846,-96.87776550650597,33.21981867375272,-96.87776573002338,33.21975407806267,-96.87789911064621,33.21980237655657             ,-96.87783231875457            ,                                                            ,                                                                                                    
KM 88                         ,                              ,                              ,                              ,33.219818600585455,-96.8778987450392,33.219882156420965,-96.87776528298855,33.219850415086846,-96.87776550650597,33.21978633932407,-96.87789892784271,33.21983437785433             ,-96.8778321155941             ,                                                            ,                                                                                                    
KM 87                         ,                              ,                              ,                              ,33.21985086184685,-96.8778985622357,33.21991389775509,-96.87776505947113,33.219882156420965,-96.87776528298855,33.219818600585455,-96.8778987450392,33.219866379152094            ,-96.87783191243365            ,                                                            ,                                                                                                    
KM 86                         ,                              ,                              ,                              ,33.21988312310825,-96.8778983794322,33.21994563908922,-96.87776483595371,33.21991389775509,-96.87776505947113,33.21985086184685,-96.8778985622357,33.21989838044985             ,-96.87783170927318            ,                                                            ,                                                                                                    
KM 85                         ,                              ,                              ,                              ,33.21991538436964,-96.87789819662869,33.219977380423344,-96.8777646124363,33.21994563908922,-96.87776483595371,33.21988312310825,-96.8778983794322,33.219930381747616            ,-96.87783150611273            ,                                                            ,                                                                                                    
KM 84                         ,                              ,                              ,                              ,33.21994764563104,-96.87789801382519,33.220009121757464,-96.87776438891888,33.219977380423344,-96.8777646124363,33.21991538436964,-96.87789819662869,33.21996238304537             ,-96.87783130295226            ,                                                            ,                                                                                                    
KM 83                         ,                              ,                              ,                              ,33.21997990689243,-96.87789783102168,33.22004086309159,-96.87776416540146,33.220009121757464,-96.87776438891888,33.21994764563104,-96.87789801382519,33.21999438434313             ,-96.8778310997918             ,                                                            ,                                                                                                    
KM 82                         ,                              ,                              ,                              ,33.22001216815383,-96.87789764821818,33.22007260442572,-96.87776394188404,33.22004086309159,-96.87776416540146,33.21997990689243,-96.87789783102168,33.22002638564089             ,-96.87783089663135            ,                                                            ,                                                                                                    
